A person is doing Head flexion with static pace, low intensity, and single temporal pattern.
A person is doing Torso posterior tilt with static pace, high intensity, and sequential temporal pattern.
A person is doing Torso posterior tilt with static pace, high intensity, and abrupt temporal pattern.
A person is doing Torso posterior tilt with static pace, high intensity, and smooth temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and single temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and repeated temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and alternating temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and sequential temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Torso posterior tilt with slow pace, low intensity, and smooth temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and single temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and repeated temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and alternating temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and sequential temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Torso posterior tilt with slow pace, high intensity, and smooth temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and single temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and repeated temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and alternating temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and sequential temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Torso posterior tilt with fast pace, low intensity, and smooth temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and single temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and repeated temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and alternating temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and sequential temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Torso posterior tilt with fast pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with static pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with static pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with slow pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with slow pace, high intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and single temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with fast pace, low intensity, and smooth temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and single temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and repeated temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and alternating temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and sequential temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Torso translation / shift with fast pace, high intensity, and smooth temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and single temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and repeated temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and alternating temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and sequential temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with static pace, low intensity, and smooth temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and single temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and repeated temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and alternating temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and sequential temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with static pace, high intensity, and smooth temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and single temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and repeated temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and alternating temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and sequential temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with slow pace, low intensity, and smooth temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and single temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and repeated temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and alternating temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and sequential temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with slow pace, high intensity, and smooth temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and single temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and repeated temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and alternating temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and sequential temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with fast pace, low intensity, and smooth temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and single temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and repeated temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and alternating temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and sequential temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Torso hold/static with fast pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with static pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with slow pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder flexion with fast pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with static pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with static pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with slow pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, low intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and single temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and synchronized temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and sequential temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and abrupt temporal pattern.
A person is doing Left Arm shoulder extension with fast pace, high intensity, and smooth temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and single temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and repeated temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and alternating temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and oscillatory temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and asymmetric temporal pattern.
A person is doing Left Arm shoulder abduction with static pace, low intensity, and synchronized temporal pattern.
